step,train_loss,val_loss,hellaswag,mmlu,arc,lr,grad_norm,tokens_per_sec,mfu,dt_ms
292,4.856491,,,,,1.969748e-03,0.3249,287379.98,0.527541,1824.37
293,4.832678,,,,,1.976471e-03,0.2997,287323.88,0.527438,1824.73
294,4.861372,,,,,1.983193e-03,0.3091,287277.04,0.527352,1825.03
295,4.848853,,,,,1.989916e-03,0.3768,287220.23,0.527248,1825.39
296,4.832903,,,,,1.996639e-03,0.3822,287279.36,0.527357,1825.01
297,4.829813,,,,,2.003361e-03,0.3091,286643.92,0.526190,1829.06
298,4.819203,,,,,2.010084e-03,0.2889,287281.39,0.527360,1825.00
299,4.835595,,,,,2.016807e-03,0.2573,287187.44,0.527188,1825.60
300,4.830846,,,,,2.023529e-03,0.3090,287124.48,0.527072,1826.00
301,4.807992,,,,,2.030252e-03,0.3120,287313.14,0.527419,1824.80
302,4.823147,,,,,2.036975e-03,0.3407,287287.32,0.527371,1824.96
303,4.797503,,,,,2.043697e-03,0.3357,287273.96,0.527347,1825.05
304,4.800328,,,,,2.050420e-03,0.3361,287340.59,0.527469,1824.62
305,4.819428,,,,,2.057143e-03,0.3081,287222.89,0.527253,1825.37
306,4.780630,,,,,2.063866e-03,0.2498,287392.00,0.527563,1824.30
307,4.797042,,,,,2.070588e-03,0.2754,287298.05,0.527391,1824.89
308,4.754753,,,,,2.077311e-03,0.1975,287296.89,0.527389,1824.90
309,4.763992,,,,,2.084034e-03,0.1832,287234.63,0.527274,1825.30
310,4.733209,,,,,2.090756e-03,0.1746,287050.87,0.526937,1826.46
311,4.739708,,,,,2.097479e-03,0.2121,287200.20,0.527211,1825.51
312,4.748556,,,,,2.104202e-03,0.2256,287212.69,0.527234,1825.43
313,4.757559,,,,,2.110924e-03,0.2714,287331.01,0.527451,1824.68
314,4.756392,,,,,2.117647e-03,0.2696,246030.30,0.451636,2130.99
315,4.763018,,,,,2.124370e-03,0.2416,287217.83,0.527244,1825.40
